Id,Query,Time,OriginalIntent,FinalIntent,OriginalScore,Nouns,Verbs,Response,ConversationId
0B8568CE-721B-49B9-800F-597956B825FD,Security cameras,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,BENVjEPYf7MJuDqBCySz2N-eu
86CC2121-43B6-423B-B429-A253E23DC130,Permission to put up security cameras,07-Oct-22,LocalGov.Planning.Permission.Required.Info,LocalGov.Planning.Permission.Required.Info,0.17828678,Permission security cameras Permissions securities camera security-cameras,put,,BENVjEPYf7MJuDqBCySz2N-eu
553B0EE9-E05D-4A33-ABF6-AC4256CEA8B1,Housing,07-Oct-22,LocalGov.Housing.Repairs.Cancel,LocalGov.Housing.Repairs.Cancel,0.7818172,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,H6eETC44rFDG1f3czXeCDE-eu
C8B31768-AC22-4E4B-BBAA-E9D3B61224E7,Housing form queries,07-Oct-22,LocalGov.Community.Volunteer.Info,LocalGov.Community.Volunteer.Info,0.1302351,Housing form queries Housing forms query Housing-form-queries,house,,H6eETC44rFDG1f3czXeCDE-eu
2B49E2A0-35F1-4FBD-8524-DB5DEB7C5ABA,Tenancy query,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,GqrdGSBV0VD52rPnGXcrlN-eu
61D2755C-A191-4D4A-A808-94925F9BC0E3,Floating rates voting,07-Oct-22,Root.Sensitive.Desperation,Root.Sensitive.Desperation,0.077497974,Floating rates voting Floating rate voting Floating-rates,float vote,,HMpzL7RXXNKKz22alPs2fi-eu
D91545F5-4E1B-4DE8-AD26-BC8659F5A1DA,Just the phone,07-Oct-22,Root.HowDoI,Root.HowDoI,0.11508354,phone phones ,,,GqrdGSBV0VD52rPnGXcrlN-eu
4FFED928-1F5D-4986-8939-68D3EB1D6E1F,I'd like to know whether my housing application has been looked at,07-Oct-22,LocalGov.Housing.Application.Help.Request,LocalGov.Housing.Application.Help.Request,0.48576668,Id housing application Ids housing applications housing-application,house,{Carousel},KtiHFxk53J63KOeIUjGEPh-eu
66FDC855-790B-4191-BC75-E50538E0296A,Extra payment taken out,07-Oct-22,LocalGov.Bin.Any.Missed.Report,LocalGov.Bin.Any.Missed.Report,0.35027692,payment payments Extra-payment,,,JjhDS5J944b2EmFEwYQUEJ-eu
688CB2C4-86E5-469F-AC3D-0BC8868100DA,Self-service portal login problems,07-Oct-22,LocalGov.Planning.Portal.Info,LocalGov.Planning.Portal.Info,0.09613682,Self service portal login problems Selves services portals logins problem Self-service Self-service-portal-login-problems,,,I0AQvWyyUJ7ARBN2Y2uMe-eu
