ConversationId,ID,TimeStamp,BotEventTypeId,Name,Data
H4WrnrI8sA1EUBSR8Fv9wA-eu,0EB52252-4674-4295-853F-DDDD37DA0591,48:47.3,B7E4F95C-4531-4CA3-A1DA-CB29186C3803,Voice: Call Transfer,4.41332E+11
H4WrnrI8sA1EUBSR8Fv9wA-eu,31379E83-13F1-496E-AF16-EF2A9CC1B8DC,48:47.2,B4261388-8CE3-4243-97FF-DCD2F6B61919,Voice: Call Escalation,
H4WrnrI8sA1EUBSR8Fv9wA-eu,A6961186-463E-4811-A924-6299C5B558C1,48:47.2,B2DF4E26-669D-4A44-AEA2-77BB8A951534,Voice: No Answer Found,
H4WrnrI8sA1EUBSR8Fv9wA-eu,02AA292A-E06A-4310-9C31-2CFFB25DB52A,48:47.0,7DF92EEA-6036-4552-AC3F-D3C71A5B0E36,Voice: Sentiment Score,0.1
H4WrnrI8sA1EUBSR8Fv9wA-eu,AB0A4B73-827F-4957-9513-33109E9C1C05,48:46.9,6E03BFB9-26DC-4074-B4EB-6C60575E89A5,Voice: Instrumentation,Sentiment Analysis: 698 ms
4neX8xpxBPh7HOlqZ53TLO-eu,139ED553-0FEB-4016-AD5F-EB41A18FC4F0,48:46.7,C2F63E86-D530-4E7F-8DC5-C28A6B264838,Voice: Call Transfer Successful,
H4WrnrI8sA1EUBSR8Fv9wA-eu,12AE2393-A71B-4CD6-81F6-42BD6D9D0E12,48:46.3,8C10F6EB-9B16-49EF-8310-CBE06887285C,Voice: User Question,***** amps.
w4y5wizKTGG6O8NocBMNn-eu,3384A605-601C-4957-B556-33F2E196B0A8,48:44.6,B7E4F95C-4531-4CA3-A1DA-CB29186C3803,Voice: Call Transfer,4.41332E+11
w4y5wizKTGG6O8NocBMNn-eu,5C98EF99-8740-447A-83A2-321EAEFEAF26,48:44.4,B4261388-8CE3-4243-97FF-DCD2F6B61919,Voice: Call Escalation,
w4y5wizKTGG6O8NocBMNn-eu,F45E3322-3DDD-4969-B453-411C4CC07AC5,48:44.4,9FD3E166-A48F-45C8-85CD-FB8480403CD3,Voice: Final Intent,Base.Person.Transfer
w4y5wizKTGG6O8NocBMNn-eu,51FD3C81-86B6-432A-9B27-8ABEFD4AE090,48:44.2,7DF92EEA-6036-4552-AC3F-D3C71A5B0E36,Voice: Sentiment Score,-0.1
w4y5wizKTGG6O8NocBMNn-eu,4FE2F4AB-2891-43DD-976B-9F28155DF96C,48:44.2,6E03BFB9-26DC-4074-B4EB-6C60575E89A5,Voice: Instrumentation,Sentiment Analysis: 188 ms
w4y5wizKTGG6O8NocBMNn-eu,5DB772B5-1DB3-446B-A16F-B93347474D99,48:44.0,8C10F6EB-9B16-49EF-8310-CBE06887285C,Voice: User Question,I wish to speak to a ******** department.
4neX8xpxBPh7HOlqZ53TLO-eu,B19FA68A-B7BD-4848-AFF1-D56617AEC74B,48:38.5,B7E4F95C-4531-4CA3-A1DA-CB29186C3803,Voice: Call Transfer,4.41332E+11
4neX8xpxBPh7HOlqZ53TLO-eu,58C336DC-AE65-46E1-8104-59E0F8B1683C,48:38.5,B4261388-8CE3-4243-97FF-DCD2F6B61919,Voice: Call Escalation,
